ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,301,Communication Studies: Approaches and Perspectives,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,302,Argumentation,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,306,Strategic Communication Research Methods,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,307,Data Storytelling,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,310,Performance of Literature,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,312,Professional Communication and Interviewing,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,314,Music Management and Concert Production,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,315,"Ethics, Free Speech, and Free Press",4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,320,Advanced Speech and Debate,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,321,Argumentation and Debate,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,325W,Reporting and Editing,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,326,Interpersonal Communication in Leadership,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,330W,Multimedia Storytelling,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,333,Advanced Public Communication,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,334,Writing & Speaking for Broadcast,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,335,Communication and Community,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,340,Special Topics,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,351,Visual Storytelling,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,353,Creative Advertising Principles,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,360,Applied Media Design,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,370,Foundations of Health Communication,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,374,Digital Music 1,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,375,Projects in Music Industry,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,383,Game Theory and Criticism,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,398,CPT: Co-Operative Experience,0,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,405,Strategic Advocacy Campaigns,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,409,Performance Studies,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,410,Topics in Relational Communication,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,412,Organizational Communication,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,414,Music in the Marketplace,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,415,Topics in Rhetoric and Culture,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,416,Topics in American Public Address,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,417,Experiential Storytelling,4,,,Gold,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,418,"Gender, Race, and Identity",4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,419,"Gender, Race, and Media",4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,420,Mass Media History,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,421,Communication Studies Teaching and Coaching Methods,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,425,Crisis Communication,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,429,Aesthetics and Culture in Music Industry,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,430,Social Movements and Advocacy,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,432,Grassroots Advocacy and Organizing,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,434W,Public Relations Writing,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,435,Forensics Pedagogy,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,436W,Specialized Writing,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,437,Legal Aspects of the Music Industry,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,440,Special Topics,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,444,Music Promotion and Social Media,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,445,Conflict Management,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,450,Strategic Communications Case Studies,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,457,"Multimedia Production for Agriculture, Food & Life Sciences",4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,460,"Dialogue, Discussion, and Debate",4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,464,AMP Ensemble,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,465,Global Media,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,469,Advocacy Documentary Production,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,470,Topics in Health Communication,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,473,Interactive Storytelling,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,474,Digital Music 2,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,475,Recording Studio,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,483,Serious Game Design and Criticism,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,484,Creative Audio Production,4,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,495,Mass Media Workshop,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,496,Capstone,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,497,Teaching Internship,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,498,Internship,,,,,
Communication and Media,BS,Communication and Media - BS,164,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,499,Individual Study,,,,,
